1,1995,8.3,81,John Lasseter,Tom Hanks|Tim Allen|Don Rickles,191796233,USA,30000000
48877,2006,6.2,108,Darren Lynn Bousman,Tobin Bell|Shawnee Smith|Angus Macfadyen,8015034382006,USA,10000000
48972,2005,7.3,0,Jan Svankmajer,Jan Tríska|Pavel Liska|Anna Geislerová,4795722007,Czech,0
48982,2006,6.6,85,"David Bowers,",Hugh Jackman|Kate Winslet|Ian McKellen,64459316232007,UK,149000000
48997,2006,7.5,147,Tom Tykwer,Ben Whishaw|Dustin Hoffman|Alan Rickman,2208939232007,Germany,50000000
49013,2006,4.7,97,Michael Lembeck,Tim Allen|Martin Short|Elizabeth Mitchell,8449787622007,USA,12000000
49132,2006,7.7,93,"Barbara Kopple,",Natalie Maines|Emily Robison|Martie Maguire,1207325192007,USA,0
49220,2006,6.3,86,Christopher Guest,Catherine O'Hara|Parker Posey|Christopher Guest,5542025192007,USA,12000000
49225,2005,8.1,83,Marshall Curry,Jen Bluestein|Cory Booker|Bill Bradley,0,USA,0
49265,2005,7.7,115,Michael Caton-Jones,John Hurt|Hugh Dancy|Dominique Horwitz,0,UK,0
49272,2006,8.0,144,Martin Campbell,Daniel Craig|Eva Green|Judi Dench,167007184232007,UK,150000000
49274,2006,6.5,108,"George Miller,",Elijah Wood|Brittany Murphy|Hugh Jackman,19799282742007,USA,100000000
49278,2006,7.0,126,Tony Scott,Denzel Washington|Paula Patton|Jim Caviezel,64034835232007,USA,75000000
49280,2006,7.0,117,Emilio Estevez,Anthony Hopkins|Demi Moore|Sharon Stone,1120449922007,USA,14000000
49284,2006,6.7,82,Brad Silberling,Morgan Freeman|Paz Vega|Jonah Hill,81416152006,USA,0
49286,2006,6.9,138,Nancy Meyers,Kate Winslet|Cameron Diaz|Jude Law,63224849262007,USA,85000000
49299,2004,7.3,143,Juan José Campanella,Ricardo Darín|Eduardo Blanco|Mercedes Morán,0,Argentina,0
49314,2005,6.9,116,David Ayer,Christian Bale|Eva Longoria|Freddy Rodríguez,333583982006,USA,2000000
49394,1965,8.0,43,0,Silvia Pinal|Claudio Brook|Enrique Álvarez Félix,0,Mexico,0
49396,2006,6.8,93,Liam Lynch,Jack Black|Kyle Gass|JR Reed,8319186292006,USA,0
49526,2006,4.8,97,Mort Nathan,Kal Penn|Lauren Cohan|Daniel Percival,425959152007,USA,0
49528,2006,5.3,93,John Stockwell,Josh Duhamel|Melissa George|Olivia Wilde,7025803192007,USA,10000000
49530,2006,8.0,143,Edward Zwick,Leonardo DiCaprio|Djimon Hounsou|Jennifer Connelly,5736626262007,Germany,100000000
49647,2006,6.3,97,Gary Winick,Dakota Fanning|Julia Roberts|Oprah Winfrey,82506325162007,USA,0
49649,2006,5.1,104,Stefen Fangmeier,Ed Speleers|Sienna Guillory|Jeremy Irons,7503016362007,USA,100000000
49651,2006,7.2,102,Sylvester Stallone,Sylvester Stallone|Antonio Tarver|Milo Ventimiglia,70269171232007,USA,24000000
49688,1955,7.4,124,Michael Anderson,Richard Todd|Michael Redgrave|Ursula Jeans,0,UK,0
49772,2006,7.5,125,John Curran,Naomi Watts|Edward Norton|Liev Schreiber,8047690202007,China,19400000
49817,1982,7.9,103,Martin Rosen,John Hurt|Christopher Benjamin|James Bolam,0,UK,0
49822,2006,6.7,167,Robert De Niro,Matt Damon|Angelina Jolie|Robert De Niro,5990104022007,USA,90000000
49824,2006,6.5,130,Bill Condon,Beyoncé Knowles|Jamie Foxx|Eddie Murphy,103338338132007,USA,70000000
49902,1971,7.1,112,Pier Paolo Pasolini,Franco Citti|Ninetto Davoli|Jovan Jovanovic,0,Italy,0
49910,2007,7.5,123,Richard LaGravenese,Hilary Swank|Imelda Staunton|Patrick Dempsey,3658163392007,Germany,21000000
49917,0,8.6,255,0,Darleen Asevedo|Jay Asevedo|Shelton Shakespear Alexander,0,USA,2000000
49932,2006,7.0,180,David Lynch,Laura Dern|Jeremy Irons|Justin Theroux,0,France,0
49957,2006,6.9,109,Nicholas Hytner,Richard Griffiths|Frances de la Tour|Clive Merrison,2706659232007,UK,2000000
49961,2006,7.4,92,Richard Eyre,Cate Blanchett|Judi Dench|Andrew Simpson,17508670182007,UK,15000000
50005,2006,7.0,0,Yimou Zhang,Yun-Fat Chow|Li Gong|Jay Chou,6565495232007,China,45000000
50011,2006,7.4,95,Jens Lien,Trond Fausa|Petronella Barker|Per Schaanning,0,Norway,14000000
50064,2006,6.1,105,Steven Soderbergh,George Clooney|Cate Blanchett|Tobey Maguire,130483762007,USA,32000000
50068,2006,7.9,141,Clint Eastwood,Ken Watanabe|Kazunari Ninomiya|Tsuyoshi Ihara,13753931202007,USA,19000000
50147,2006,4.6,84,Glen Morgan,Michelle Trachtenberg|Mary Elizabeth Winstead|Lacey Chabert,1623529392007,USA,9000000
50160,2006,7.0,88,Chris Noonan,Renée Zellweger|Ewan McGregor|Emily Watson,2975649222007,UK,30000000
50162,2006,6.0,94,Luc Besson,Freddie Highmore|Mia Farrow|Madonna,1513133042007,France,86000000
50189,2006,5.1,97,Joe Nussbaum,John White|Eugene Levy|Maria Ricossa,0,Canada,0
50245,1974,8.0,110,Wim Wenders,Yella Rottländer|Rüdiger Vogler|Lisa Kreuzer,0,West,500000
50259,2006,6.7,76,Kelly Reichardt,Daniel London|Will Oldham|Tanya Smith,25535242007,USA,300000
50442,2006,6.9,117,Nick Cassavetes,Emile Hirsch|Justin Timberlake|Anton Yelchin,15229325162007,Germany,0
50445,2007,5.6,84,Dave Meyers,Sean Bean|Sophia Bush|Zachary Knighton,16366370162007,USA,10000000
50514,2006,7.8,120,Susanne Bier,Mads Mikkelsen|Sidse Babett Knudsen|0,152635962007,Denmark,0
50583,2005,7.6,0,Nobuhiro Yamashita,Doona Bae|Aki Maeda|0,0,Japan,0
50601,2007,7.2,96,Gabor Csupo,Josh Hutcherson|AnnaSophia Robb|Zooey Deschanel,82234139222007,USA,17000000
50641,1977,7.3,88,Nobuhiko Ôbayashi,Kimiko Ikegami|Miki Jinbo|Kumiko Ohba,0,Japan,0
50651,2006,7.3,99,Clayton Jacobson,Shane Jacobson|Travis Golland|Chris Davis,0,Australia,0
50658,2005,8.2,180,"Michael Apted,",Bruce Balden|Jacqueline Bassett|Symon Basterfield,238073222006,UK,0
50685,2007,7.0,108,Adrienne Shelly,Keri Russell|Nathan Fillion|Jeremy Sisto,19067631192007,USA,1500000
50703,2006,5.7,0,Drew Heriot,Bob Proctor|Joe Vitale|John Assaraf,0,Australia,0
50740,1964,8.1,39,Paul Almond,Douglas Keay|Bruce Balden|Jacqueline Bassett,0,UK,0
50742,1970,8.0,52,Michael Apted,Bruce Balden|Jacqueline Bassett|Symon Basterfield,0,UK,0
50792,2006,6.0,112,Susannah Grant,Jennifer Garner|Timothy Olyphant|Kevin Smith,15269668162007,USA,0
50794,2006,6.7,109,Joe Carnahan,Jeremy Piven|Ryan Reynolds|Ray Liotta,3563504692007,UK,17000000
50798,2007,2.3,86,"Jason Friedberg,",Kal Penn|Jennifer Coolidge|Fred Willard,39737645272007,USA,20000000
50802,2007,5.6,0,Michael Lehmann,Diane Keaton|Mandy Moore|Gabriel Macht,42640890302007,USA,0
50804,2007,6.2,121,Peter Webber,Gaspard Ulliel|Rhys Ifans|Li Gong,2766794742007,UK,50000000
50806,2007,4.0,0,Brian Robbins,Eddie Murphy|Thandie Newton|Terry Crews,95323496272007,USA,60000000
50842,2006,6.7,99,Lars von Trier,Jens Albinus|Peter Gantzler|0,51300132007,Denmark,3000000
50851,2006,7.9,118,Billy Corben,Jon Roberts|Al Sunshine|Sam Burstyn,148872222006,USA,0
50872,2007,8.0,111,"Brad Bird,",Brad Garrett|Lou Romano|Patton Oswalt,20643549372007,USA,150000000
50912,2006,7.3,120,"Olivier Assayas,",Juliette Binoche|Leonor Watling|Ludivine Sagnier,485737632007,France,13000000
50923,2006,6.3,104,Michael Polish,Billy Bob Thornton|Virginia Madsen|Bruce Dern,10996440202007,USA,13000000
50954,2006,6.3,0,Nick Hurran,Samaire Armstrong|Kevin Zegers|Sherry Miller,0,USA,15500000
51044,1967,6.2,55,"George Harrison (as The Beatles),",John Lennon|Paul McCartney|George Harrison,0,UK,0
51077,2007,5.2,114,Mark Steven Johnson,Nicolas Cage|Eva Mendes|Sam Elliott,115802596272007,USA,110000000
51080,2007,7.0,110,Billy Ray,Chris Cooper|Ryan Phillippe|Dennis Haysbert,3295884062007,USA,0
51084,2007,6.5,95,Marc Lawrence,Hugh Grant|Drew Barrymore|Scott Porter,50562555112007,USA,40000000
51086,2007,6.4,101,Joel Schumacher,Jim Carrey|Virginia Madsen|Logan Lerman,35063732232007,USA,32000000
51088,2007,5.9,0,Robert Ben Garant (as Ben Garant),Thomas Lennon|Robert Ben Garant|Kerri Kenney,20339754272007,USA,10000000
51091,2006,7.0,116,Craig Brewer,Christina Ricci|Samuel L. Jackson|Justin Timberlake,9396487182007,USA,15000000
51094,2006,5.8,96,Sue Kramer,Heather Graham|Tom Cavanagh|Bridget Moynahan,5961992007,USA,0
51127,2006,7.2,85,"Steven Cantor,",Frank Black|Kim Deal|David Lovering,3792292006,USA,0
51174,2006,6.4,99,George Hickenlooper,Sienna Miller|Guy Pearce|Hayden Christensen,1654367162007,USA,7000000
51207,1987,6.2,91,James M. Muro (as Jim Muro),Mike Lackey|Bill Chepil|Vic Noto,0,USA,500000
51255,2007,7.9,121,Edgar Wright,Simon Pegg|Nick Frost|Martin Freeman,23618786202007,UK,8000000
51277,1978,7.8,115,Chia-Liang Liu,Chia-Hui Liu|Lieh Lo|Chia Yung Liu,0,Hong,0
51304,2006,5.5,0,Joel Bender,Laura Prepon|Misha Collins|Patrick Bauchau,0,USA,5000000
51357,1995,7.6,105,Chris Gerolmo,Stephen Rea|Donald Sutherland|Max von Sydow,0,USA,0
51372,0,7.8,120,David Mallet,Elaine Paige|John Mills|Ken Page,0,UK,0
51380,1972,6.5,111,Pier Paolo Pasolini,Hugh Griffith|Laura Betti|Ninetto Davoli,0,Italy,0
51412,2007,6.2,96,Lee Tamahori,Nicolas Cage|Julianne Moore|Jessica Biel,17993461152007,USA,70000000
51418,2006,6.5,120,Anthony Minghella,Jude Law|Robin Wright|Vera Farmiga,928960202007,UK,0
51471,2006,7.5,118,Michael Apted,Ioan Gruffudd|Albert Finney|Michael Gambon,2120835882007,USA,0
51540,2007,7.7,157,David Fincher,Jake Gyllenhaal|Robert Downey Jr.|Mark Ruffalo,33048353272007,USA,65000000
51575,2007,5.9,100,Walt Becker,Tim Allen|Martin Lawrence|John Travolta,168213584272007,USA,0
51662,2006,7.7,117,Zack Snyder,Gerard Butler|Lena Headey|David Wenham,21059259062007,USA,65000000
51698,2007,6.3,96,Robert Shaye (as Bob Shaye),Joely Richardson|Rainn Wilson|Timothy Hutton,2146059082007,USA,0
51705,2006,7.0,106,Pierre Salvadori,Audrey Tautou|Gad Elmaleh|Marie-Christine Adam,1499127162016,France,11700000
51709,2006,7.0,120,Joon-ho Bong (as Joon Ho Bong),Kang-ho Song|Hee-Bong Byun|Hae-il Park,220141262007,South,12215500000
51773,1963,7.9,174,Elia Kazan,Stathis Giallelis|Frank Wolff|Elena Karam,0,USA,0
51834,2007,7.1,120,Julian Jarrold,Anne Hathaway|James McAvoy|Julie Walters,18663911192007,UK,16500000
51884,2006,7.6,122,Mira Nair,Kal Penn|Irrfan Khan|Tabu,1356924832007,USA,0
51925,2007,5.9,96,Mennan Yapo,Sandra Bullock|Julian McMahon|Amber Valletta,47852604272007,USA,20000000
51927,2007,6.2,89,James Wan,Ryan Kwanten|Amber Valletta|Donnie Wahlberg,16545445132007,USA,20000000
51931,2007,7.5,124,Mike Binder,Adam Sandler|Don Cheadle|Jada Pinkett Smith,19661987272007,USA,20000000
51935,2007,7.2,124,Antoine Fuqua,Mark Wahlberg|0|Rhona Mitra,4697518382007,USA,61000000
51937,2007,5.1,89,Martin Weisz,Daniella Alonso|Jacob Vargas|Michael Bailey Smith,2080134412007,USA,15000000
51939,2007,6.3,87,Kevin Munroe,Patrick Stewart|Mako|Chris Evans,54132596152007,Hong,34000000
52241,2007,7.1,99,Scott Frank,Joseph Gordon-Levitt|Jeff Daniels|Matthew Goode,4587858272007,USA,16000000
52245,2007,6.3,0,"Josh Gordon,",Will Ferrell|Jon Heder|Amy Poehler,11815353362007,USA,61000000
52281,2007,7.6,191,"Robert Rodriguez,",Kurt Russell|Rose McGowan|Danny Trejo,25031037152007,USA,53000000
52287,2007,6.9,95,Stephen J. Anderson (as Stephen Anderson),Daniel Hansen|Wesley Singerman|Angela Bassett,97821064312007,USA,150000000
52319,1978,6.6,99,Enzo G. Castellari,Bo Svenson|Peter Hooten|Fred Williamson,0,Italy,0
52328,2007,7.3,107,Danny Boyle,Cillian Murphy|Rose Byrne|Chris Evans,3675072122007,UK,26000000
52378,1950,7.5,106,Joseph L. Mankiewicz,Richard Widmark|Linda Darnell|Stephen McNally,0,USA,0
52435,1966,8.4,26,"Chuck Jones,",Boris Karloff|Thurl Ravenscroft|June Foray,0,USA,0
52456,2007,5.7,109,James Foley,Halle Berry|Bruce Willis|Giovanni Ribisi,23705592182007,USA,60795000
52458,2007,6.9,105,D.J. Caruso,Shia LaBeouf|David Morse|Carrie-Anne Moss,80050171272007,USA,20000000
52460,2007,5.4,99,Marcus Nispel,Karl Urban|Clancy Brown|Moon Bloodgood,10232081152007,USA,20000000
52462,2007,6.9,0,"Matt Maiellaro,",Dana Snyder|Dave Willis|Carey Means,551891882007,USA,750000
52528,1970,7.6,99,0,Catherine Deneuve|Fernando Rey|Franco Nero,12686212012,Spain,0
52545,2006,6.1,82,Maria Maggenti,Ken Barnett|Julianne Nicholson|Brian Letscher,89417222007,USA,0
52579,2007,7.6,140,Olivier Dahan,Marion Cotillard|Sylvie Testud|Pascal Greggory,1029978242008,France,0
52604,2007,7.2,113,Gregory Hoblit,Anthony Hopkins|Ryan Gosling|David Strathairn,39004700202007,USA,0
52606,2006,6.8,86,Jean-Baptiste Andrea,David Schwimmer|Simon Pegg|Alice Eve,0,UK,8000000
52617,2006,7.0,127,Sang-soo Hong,Seung-woo Kim|Hyun-jung Go|Seon-mi Song,1420872008,South,0
52644,2007,6.2,85,Nimród Antal,Kate Beckinsale|Luke Wilson|Frank Whaley,18986844252007,USA,19000000
52666,1992,7.2,105,Michael Haneke,Arno Frisch|Angela Winkler|Ulrich Mühe,0,Austria,0
52668,2007,6.5,97,Jon Kasdan (as Jonathan Kasdan),Adam Brody|Kristen Stewart|Meg Ryan,11043445222007,USA,10000000
52694,2007,6.3,90,Steve Bendelack,Rowan Atkinson|Willem Dafoe|Steve Pemberton,32553210122007,UK,25000000
52712,2007,6.3,102,David S. Goyer,Justin Chatwin|Margarita Levieva|Marcia Gay Harden,20568319202007,USA,30000000
52717,2007,6.1,0,Scott Wiper,Steve Austin|Vinnie Jones|Nathan Jones,3718312013,USA,0
52722,2007,6.2,139,Sam Raimi,Tobey Maguire|Kirsten Dunst|Topher Grace,336530303172007,USA,258000000
52730,2002,6.5,100,Kirk R. Thatcher,Steve Whitmire|Dave Goelz|Bill Barretta,0,USA,0
52767,1977,8.2,100,Michael Apted,Bruce Balden|Jacqueline Bassett|Symon Basterfield,0,UK,0
52831,1988,6.0,85,William Lustig,Tom Atkins|Bruce Campbell|Laurene Landon,671382,USA,1100000
52885,2006,7.7,90,Satoshi Kon,Megumi Hayashibara|Tôru Emori|Katsunosuke Hori,881302192007,Japan,0
52913,1935,6.3,95,George Cukor,Katharine Hepburn|Cary Grant|Brian Aherne,0,USA,641000
52950,2006,6.5,132,Timur Bekmambetov,Konstantin Khabenskiy|Mariya Poroshina|Vladimir Menshov,450686272007,Russia,4200000
52952,2006,7.7,101,Shane Meadows,Thomas Turgoose|Stephen Graham|Jo Hartley,327919162007,UK,1500000
52967,2006,7.6,110,Sarah Polley,Julie Christie|Michael Murphy|Gordon Pinsent,15830046132007,Canada,4000000
52973,2007,7.0,129,Judd Apatow,Seth Rogen|Katherine Heigl|Paul Rudd,148734225212007,USA,30000000
52975,2007,6.7,117,Adam Shankman,John Travolta|Queen Latifah|Nikki Blonsky,118823091192007,USA,75000000
53000,2007,7.0,100,Juan Carlos Fresnadillo,Jeremy Renner|Rose Byrne|Robert Carlyle,28637507102007,UK,15000000
53024,2006,7.9,86,Stanley Nelson,Rebecca Moore|Janet Shular|Tim Carter,0,USA,0
53038,1932,7.4,83,Victor Fleming (uncredited),Clark Gable|Jean Harlow|Gene Raymond,0,USA,408000
53121,2007,6.1,93,"Chris Miller,",Mike Myers|Cameron Diaz|Eddie Murphy,32070666532007,USA,160000000
53123,2007,7.9,85,John Carney,Glen Hansard|Markéta Irglová|Hugh Walsh,9437933142007,Ireland,180000
53125,2007,7.1,169,Gore Verbinski,Johnny Depp|Orlando Bloom|Keira Knightley,309404152282007,USA,300000000
53129,2007,7.3,120,Bruce A. Evans,Kevin Costner|Demi Moore|William Hurt,28476219102007,USA,20000000
53133,2007,6.2,0,Davis Guggenheim,Carly Schroeder|Andrew Shue|Elisabeth Shue,2955039202007,USA,9000000
53138,2006,6.2,92,Jonathan Frakes,Noah Wyle|Gabrielle Anwar|Bob Newhart,0,USA,0
53189,2007,6.8,93,Taika Waititi,Loren Taylor|Jemaine Clement|Craig Hall,22184632007,New,0
53207,2007,5.9,108,Jon Avnet,Al Pacino|Alicia Witt|Ben McKenzie,16930884162008,USA,30000000
53318,2006,7.2,102,Sean Ellis,Sean Biggerstaff|Emilia Fox|Michelle Ryan,24942272007,UK,0
53322,2007,6.9,122,Steven Soderbergh,George Clooney|Brad Pitt|Matt Damon,117144465142007,USA,85000000
53326,2006,6.5,0,"David Moreau,",Olivia Bonamy|Michaël Cohen|Adriana Mocca,0,France,0
53435,2007,5.5,94,Eli Roth,Lauren German|Heather Matarazzo|Bijou Phillips,17544812292007,USA,10000000
53447,2007,6.7,85,Gus Van Sant,Gabe Nevins|Daniel Liu|Taylor Momsen,48602162008,France,0
53460,2007,6.7,85,"Ash Brannon,",Shia LaBeouf|Zooey Deschanel|Jon Heder,58867694242007,USA,100000000
53464,2007,5.6,92,Tim Story,Ioan Gruffudd|Jessica Alba|Chris Evans,131920333122007,USA,130000000
53466,2007,5.9,99,Andrew Fleming,Emma Roberts|Tate Donovan|Max Thieriot,25584685242007,USA,20000000
53468,2006,6.7,93,Andrew Currie,Kesun Loder|Billy Connolly|Carrie-Anne Moss,29811062007,Canada,8000000
53519,2007,7.1,114,Quentin Tarantino,Kurt Russell|Zoë Bell|Rosario Dawson,0,USA,0
53550,2006,7.3,120,Werner Herzog,Christian Bale|Steve Zahn|Jeremy Davies,5484375262007,USA,10000000
53737,1967,7.3,148,Anatole Litvak,Peter O'Toole|Omar Sharif|Tom Courtenay,0,UK,0
53883,0,8.9,180,0,Gilles Kepel|Melvin Goodman|Stephen Holmes,0,UK,0
53887,1973,7.8,178,Lindsay Anderson,Malcolm McDowell|Ralph Richardson|Rachel Roberts,0,UK,0
53894,2007,8.0,123,Michael Moore,Michael Moore|Tucker Albrizzi|Tony Benn,24530513122007,USA,9000000
53953,2007,6.8,104,0,John Cusack|Samuel L. Jackson|Mary McCormack,7197561152007,USA,25000000
53956,2007,7.4,87,Frank Oz,Matthew Macfadyen|Peter Dinklage|Ewen Bremner,8579684282007,USA,9000000
53972,2007,7.2,128,Len Wiseman,Bruce Willis|Justin Long|Timothy Olyphant,134520804262007,USA,110000000
53974,2007,5.3,91,Ken Kwapis,Mandy Moore|John Krasinski|Robin Williams,43792641282007,USA,35000000
53993,2007,5.4,96,Tom Shadyac,Steve Carell|Morgan Freeman|Lauren Graham,100289690282007,USA,175000000
53996,2007,7.1,144,Michael Bay,Shia LaBeouf|Megan Fox|Josh Duhamel,318759914262007,USA,150000000
53999,2007,4.7,96,Roland Joffé,Elisha Cuthbert|Daniel Gillies|Pruitt Taylor Vince,2626800272007,USA,17000000
54001,2007,7.5,138,David Yates,Daniel Radcliffe|Emma Watson|Rupert Grint,29200086672007,UK,150000000
54004,2007,6.0,115,Dennis Dugan,Adam Sandler|Kevin James|Jessica Biel,119684970122007,USA,85000000
54190,2007,7.4,133,Julie Taymor,Evan Rachel Wood|Jim Sturgess|Joe Anderson,2434367372007,USA,45000000
54220,1969,6.9,107,Alan J. Pakula,Liza Minnelli|Wendell Burton|Tim McIntire,0,USA,0
54251,2004,6.9,84,Tennyson Bardwell,Michael McMillian|Lea Coco|Steve Fletcher,71469102006,USA,185000
54256,2007,6.7,0,Akiva Schaffer,Andy Samberg|Isla Fisher|Ian McShane,13920741212007,USA,0
54259,2007,7.7,127,Matthew Vaughn,Charlie Cox|Claire Danes|Sienna Miller,38345403192007,UK,70000000
54270,2006,4.6,110,James Isaac (as Jim Isaac),Jason Behr|Elias Koteas|Rhona Mitra,1018965242007,Canada,0
54272,2007,7.4,87,David Silverman,Dan Castellaneta|Julie Kavner|Nancy Cartwright,183132370142007,USA,75000000
54276,2007,6.3,104,Scott Hicks,Catherine Zeta-Jones|Aaron Eckhart|Abigail Breslin,4309765222007,USA,28000000
54281,2007,7.0,97,Jon Poll,Anton Yelchin|Robert Downey Jr.|Hope Davis,3950294252008,USA,12000000
54286,2007,8.1,115,Paul Greengrass,Matt Damon|Edgar Ramírez|Joan Allen,227137090222007,USA,110000000
54290,2007,2.9,0,Sean McNamara,Skyler Shaye|Janel Parrish|Logan Browning,10005534262007,USA,20000000
54328,2006,6.7,94,Patrice Leconte,Daniel Auteuil|Dany Boon|Julie Gayet,1422461192007,France,0
54331,2007,6.5,93,John Dahl,Ben Kingsley|Téa Leoni|Luke Wilson,2426851172007,USA,4000000
54372,2006,7.6,131,Guillaume Canet,François Cluzet|Marie-Josée Croze|André Dussollier,617719262009,France,11700000
54419,2004,7.5,90,"Vít Klusák,",Varhan Orchestrovich Bauer|Jaromír Kalina|Vít Klusák,17393282007,Czech,0
54426,2006,7.4,89,Corneliu Porumboiu,Mircea Andreescu|Teodor Corban|Ion Sapdaru,88066242007,Romania,200000
54503,2007,7.6,113,Greg Mottola,Michael Cera|Jonah Hill|Christopher Mintz-Plasse,121463226192007,USA,20000000
54513,2007,7.4,118,Kasi Lemmons,Don Cheadle|Chiwetel Ejiofor|Bruce McFee,4472823212007,USA,0
54648,2007,6.2,91,Brett Ratner,Jackie Chan|Chris Tucker|Max von Sydow,14008085022007,USA,140000000
54732,2007,5.3,90,Robert Ben Garant,Dan Fogler|Christopher Walken|George Lopez,3287848622007,USA,0
54734,2007,6.3,108,Joe Nussbaum,Amanda Bynes|Sara Paxton|Matt Long,11702090262007,USA,16500000
54736,2007,7.1,110,Peter Berg,Jamie Foxx|Chris Cooper|Jennifer Garner,47456450222007,USA,70000000
54745,2007,6.7,101,Jeffrey Blitz,Reece Thompson|Anna Kendrick|Nicholas D'Agosto,712391192007,USA,6000000
54768,2007,2.9,89,Fred Savage,Cuba Gooding Jr.|Lochlyn Munro|Richard Gant,13235267122007,USA,6000000
54771,2007,5.9,99,"Oliver Hirschbiegel,",Nicole Kidman|Daniel Craig|Jeremy Northam,1507151452007,USA,80000000
54775,2007,6.3,103,Philip G. Atwell,Jet Li|Jason Statham|Nadine Velazquez,22466994282007,USA,25000000
54780,2007,6.2,106,"Shari Springer Berman,",Scarlett Johansson|Laura Linney|Paul Giamatti,25925170222007,USA,20000000
54785,2007,6.1,109,Rob Zombie,Scout Taylor-Compton|Malcolm McDowell|Tyler Mane,5826726172007,USA,15000000
54787,2007,6.8,105,James Wan,Kevin Bacon|John Goodman|Kelly Preston,9525276262007,USA,20000000
54881,2007,8.2,79,Seth Gordon,Steve Wiebe|Billy Mitchell|Mark Alpiger,674925192007,USA,0
54910,2006,6.8,0,Scott Glosserman,Nathan Baesel|Angela Goethals|Zelda Rubinstein,38500162007,USA,0
54995,2007,7.1,105,Robert Rodriguez,Rose McGowan|Freddy Rodríguez|Josh Brolin,0,USA,0
54997,2007,7.7,122,James Mangold,Russell Crowe|Christian Bale|Ben Foster,5357408822007,USA,55000000
54999,2007,6.7,86,Michael Davis,Clive Owen|Monica Bellucci|Paul Giamatti,12796824122007,USA,39000000
55031,2002,8.4,224,J.M. Kenny,Kevin Smith|Jason Mewes|Scott Mosier,0,USA,0
55052,2007,7.8,123,Joe Wright,Keira Knightley|James McAvoy|Brenda Blethyn,5092173842008,UK,30000000
55063,2007,7.7,80,Guy Maddin,Darcy Fehr|Ann Savage|Louis Negin,156629152008,Canada,600000
55069,2007,7.9,113,Cristian Mungiu,Anamaria Marinca|Vlad Ivanov|Laura Vasiliu,118578322008,Romania,590000
55071,2007,8.3,102,Charles Ferguson,Campbell Scott|Gerald Burke|Ali Fadhil,1430185262007,USA,2000000
55078,1967,7.2,168,John Schlesinger,Julie Christie|Peter Finch|Alan Bates,0,UK,0
55094,2007,7.2,121,Paul Haggis,Tommy Lee Jones|Charlize Theron|Jonathan Tucker,6777589152008,USA,0
55100,2007,6.1,97,Amy Heckerling,Michelle Pfeiffer|Paul Rudd|Saoirse Ronan,0,USA,24000000
55110,2007,6.6,105,Rod Hardy,Daniel Radcliffe|Teresa Palmer|Lee Cormie,46474282007,Australia,4000000
55116,2007,6.9,101,Richard Shepard,Richard Gere|Terrence Howard|Jesse Eisenberg,876671262007,USA,25000000
55118,2007,7.7,100,David Cronenberg,Naomi Watts|Viggo Mortensen|Armin Mueller-Stahl,17114882262007,USA,25000000
55156,2006,7.9,0,"Henriette Mantel,",Ralph Nader|Pat Buchanan|Howard Zinn,175237112007,USA,0
55167,2006,7.7,111,Michael Arias (as Maikeru Ariasu),Kazunari Ninomiya|0|0,0,Japan,4200000
55207,2004,7.7,18,Sean Ellis,Sean Biggerstaff|Emilia Fox|Stuart Goodwin,0,UK,30000
55232,2007,6.3,94,Russell Mulcahy,Milla Jovovich|Ali Larter|Oded Fehr,50648679262007,France,45000000
55245,2007,5.6,101,Mark Helfrich,Dane Cook|Jessica Alba|Dan Fogler,3500062922007,USA,25000000
55247,2007,8.1,148,Sean Penn,Emile Hirsch|Vince Vaughn|Catherine Keener,18352454212008,USA,15000000
55250,2007,6.2,110,Andy Fickman,Dwayne Johnson|Kyra Sedgwick|Madison Pettis,90636983152008,USA,22000000
55253,2007,7.6,157,Ang Lee,Tony Chiu-Wai Leung|Wei Tang|Joan Chen,4602512182008,USA,15000000
55259,2007,4.8,99,David L. Cunningham,Alexander Ludwig|Ian McShane|Christopher Eccleston,8791738142007,USA,45000000
55261,2007,5.8,116,"Bobby Farrelly,",Ben Stiller|Michelle Monaghan|Malin Akerman,36771343302007,USA,60000000
55267,2007,6.8,98,Peter Hedges,Steve Carell|Juliette Binoche|Dane Cook,4763654182008,USA,25000000
55269,2007,7.2,91,Wes Anderson,Owen Wilson|Adrien Brody|Jason Schwartzman,11896380222008,USA,17500000
55272,2007,6.9,117,James Gray,Joaquin Phoenix|Mark Wahlberg|Eva Mendes,2856317922007,USA,21000000
55274,2007,6.9,114,Shekhar Kapur,Cate Blanchett|Clive Owen|Geoffrey Rush,16264475222007,UK,55000000
55276,2007,7.3,119,Tony Gilroy,George Clooney|Tilda Swinton|Tom Wilkinson,49024969142008,USA,25000000
55280,2007,7.4,106,Craig Gillespie,Ryan Gosling|Emily Mortimer|Paul Schneider,5949693292008,USA,12000000
55282,2007,6.6,113,David Slade,Josh Hartnett|Melissa George|Danny Huston,39568996222007,USA,32000000
55290,2007,7.7,114,Ben Affleck,Morgan Freeman|Ed Harris|Casey Affleck,20300218282007,USA,19000000
55294,2007,6.5,90,Allan Moyle,Scott Speedman|Wes Bentley|Taryn Manning,7262192007,Canada,0
55363,2007,7.5,160,Andrew Dominik,Brad Pitt|Casey Affleck|Sam Shepard,3904982252008,USA,30000000
